time,Unix time,CHTR:CM02:1255:HV:POWER,CLL:CM02:2301:DS:LVL,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2601:US:LVL,CHTR:CM02:1855:HV:POWER
2019-03-03 14:14:15,1551640455.56,2.13125,96.5808,17.3984,74.1475,9.95721
2019-03-03 14:14:16,1551640456.57,2.13125,96.5808,17.3984,74.2838,9.95721
2019-03-03 14:14:17,1551640457.56,2.13125,96.3461,17.3984,74.2838,9.95721
2019-03-03 14:14:18,1551640458.56,2.13125,96.6009,17.3984,74.17,9.95721
2019-03-03 14:14:19,1551640459.56,2.13125,96.4108,17.3984,74.17,9.95721
2019-03-03 14:14:23,1551640463.56,2.13125,96.4108,17.3984,74.2961,9.95721
2019-03-03 14:14:24,1551640464.57,2.13125,96.4108,17.3984,74.1088,9.95721
2019-03-03 14:14:29,1551640469.56,2.13125,96.4108,17.3984,74.2311,9.95721
2019-03-03 14:14:30,1551640470.56,2.13125,96.3078,17.3984,74.2311,9.95721
2019-03-03 14:14:31,1551640471.56,2.13125,96.4456,17.3984,74.0303,9.95721
2019-03-03 14:14:32,1551640472.56,2.13125,96.3446,17.3984,74.2535,9.95721
2019-03-03 14:14:34,1551640474.56,2.13125,96.3446,17.3984,74.0614,9.95721
2019-03-03 14:14:35,1551640475.56,2.13125,96.4839,17.3984,74.0614,9.95721
2019-03-03 14:14:36,1551640476.56,2.13125,96.3827,17.3984,74.0614,9.95721
2019-03-03 14:14:37,1551640477.56,2.13125,96.15,17.3984,74.2552,9.95721
2019-03-03 14:14:38,1551640478.56,2.13125,96.5107,17.3984,73.9992,9.95721
2019-03-03 14:14:39,1551640479.56,2.13125,96.1976,17.3984,73.9992,9.95721
2019-03-03 14:14:40,1551640480.56,2.13125,96.5269,17.3984,73.9992,9.95721
2019-03-03 14:14:41,1551640481.56,2.13125,96.3314,17.3984,73.9992,9.95721
2019-03-03 14:14:42,1551640482.56,2.13125,96.3314,17.3984,74.3465,9.95721
2019-03-03 14:14:43,1551640483.56,2.13125,96.5248,17.3984,74.0458,9.95721
2019-03-03 14:14:44,1551640484.56,2.13125,96.3353,17.3984,74.0458,9.95721
2019-03-03 14:14:45,1551640485.56,2.13125,96.5698,17.3984,74.0458,9.95721
2019-03-03 14:14:46,1551640486.56,2.13125,96.3523,17.3984,74.1781,9.95721
2019-03-03 14:14:48,1551640488.56,2.13125,96.3523,17.3984,74.0198,9.95721
2019-03-03 14:14:50,1551640490.56,2.13125,96.5632,17.3984,74.1362,9.95721
2019-03-03 14:14:52,1551640492.56,2.13125,96.3323,17.3984,74.1362,9.95721
2019-03-03 14:14:54,1551640494.56,2.13125,96.3323,17.3984,74.2972,9.95721
2019-03-03 14:14:55,1551640495.56,2.13125,96.5237,17.3984,74.0888,9.95721
2019-03-03 14:14:56,1551640496.57,2.13125,96.2516,17.3984,74.2987,9.95721
2019-03-03 14:14:57,1551640497.56,2.13125,96.2516,17.3984,74.0957,9.95721
2019-03-03 14:14:58,1551640498.56,2.13125,96.2516,17.3984,73.9931,9.95721
2019-03-03 14:14:59,1551640499.56,2.13125,96.2516,17.3984,74.1117,9.95721
2019-03-03 14:15:00,1551640500.56,2.13125,96.4657,17.3984,74.1117,9.95721
2019-03-03 14:15:01,1551640501.56,2.13125,96.3596,17.3984,74.1117,9.95721
2019-03-03 14:15:02,1551640502.57,2.13125,96.4724,17.3984,74.1117,9.95721
2019-03-03 14:15:03,1551640503.56,2.13125,96.3617,17.3984,74.1117,9.95721
2019-03-03 14:15:04,1551640504.56,2.13125,96.1641,17.3984,74.1117,9.95721
2019-03-03 14:15:05,1551640505.56,2.13125,96.425,17.3984,74.0053,9.95721
2019-03-03 14:15:06,1551640506.56,2.13125,96.2983,17.3984,74.2258,9.95721
2019-03-03 14:15:07,1551640507.56,2.13125,96.2983,17.3984,74.0021,9.95721
2019-03-03 14:15:08,1551640508.56,2.13125,96.4206,17.3984,74.2844,9.95721
2019-03-03 14:15:10,1551640510.56,2.13125,96.2924,17.3984,74.0076,9.95721
2019-03-03 14:15:11,1551640511.56,2.13125,96.2924,17.3984,74.3815,9.95721
2019-03-03 14:15:12,1551640512.57,2.13125,96.2924,17.3984,73.9965,9.95721
2019-03-03 14:15:13,1551640513.56,2.13125,96.4543,17.3984,73.9965,9.95721
2019-03-03 14:15:14,1551640514.56,2.13125,96.4543,17.3984,74.1259,9.95721
2019-03-03 14:15:15,1551640515.56,2.13125,96.248,17.3984,74.1259,9.95721
2019-03-03 14:15:16,1551640516.56,2.13125,96.248,17.3984,74.4026,9.95721
2019-03-03 14:15:17,1551640517.56,2.13125,96.248,17.3984,74.112,9.95721
2019-03-03 14:15:18,1551640518.56,2.13125,96.4415,17.3984,74.112,9.95721
2019-03-03 14:15:19,1551640519.56,2.13125,96.0578,17.3984,74.112,9.95721
2019-03-03 14:15:20,1551640520.56,2.13125,96.4338,17.3984,74.2169,9.95721
2019-03-03 14:15:21,1551640521.56,2.13125,95.9372,17.3984,74.2169,9.95721
2019-03-03 14:15:22,1551640522.56,2.13125,96.3474,17.3984,74.0482,9.95721
2019-03-03 14:15:23,1551640523.56,2.13125,96.5988,17.3984,74.0482,9.95721
2019-03-03 14:15:24,1551640524.56,2.13125,96.3714,17.3984,74.0482,9.95721
2019-03-03 14:15:25,1551640525.56,2.13125,96.3714,17.3984,74.1982,9.95721
2019-03-03 14:15:26,1551640526.56,2.13125,96.3714,17.3984,74.0179,9.95721
2019-03-03 14:15:29,1551640529.56,2.13125,96.237,17.3984,74.2288,9.95721
2019-03-03 14:15:30,1551640530.56,2.13125,96.0958,17.3984,74.2288,9.95721
2019-03-03 14:15:31,1551640531.56,2.13125,96.3136,17.3984,74.2288,9.95721
